,p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Border,Fabric,Ornamentation,Pattern,Print or Pattern Type,Sustainable,Technique,Wash Care,Wedding,AddOns
376,10575458,The Roadster Lifestyle Co Women Black Solid Sweater,1699,Black,roadster,296,4.472972973,Casual,,Acrylic,,Solid,Solid,,,Machine Wash,,
377,16833918,Roadster Women Chic Brown Self-Design T-shirt with Shorts,1899,Brown,roadster,22,4.045454545,Casual,,,,,,Regular,,Machine Wash,NA,NA
378,14954482,Roadster Women Olive Green Loose Fit High-Rise Shorts,1899,Olive,roadster,0,0,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,
379,13756790,Roadster X DISCOVERY ADVENTURES Women Navy Blue Denim Shorts,2499,Navy Blue,roadster,0,0,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,
380,13984114,Roadster Red Ribbed Fitted Crop Top,999,Red,roadster,214,4.289719626,Casual,,Cotton Blend,,Self Design,Self Design,Regular,,Machine Wash,,
381,15773476,The Roadster Lifestyle Co. Women Black Light Fade Flared Stretchable Jeans,2199,Black,roadster,0,0,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
382,14331498,Roadster Women Pink Ribbed Pullover,1299,Pink,roadster,121,4.289256198,Casual,,Acrylic,,Ribbed,Ribbed,Regular,,Machine Wash,,
383,14991312,Roadster Women Lavender Sweater with Skirt,2499,Lavender,roadster,30,4,Casual,,,,,,Regular,,Machine Wash,,NA
384,13339510,The Roadster Lifestyle Co Blue Jogger Fit Basic Denim Cropped Jumpsuit with Waist Tie-Ups,2599,Blue,roadster,23,4.043478261,Casual,,Cotton,,Solid,,Regular,,Machine Wash,,
385,15773362,The Roadster Lifestyle Co Women Blue Boyfriend Fit High-Rise Jeans,2499,Blue,roadster,7,3.857142857,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
386,13756834,Roadster Women Blue Dropped Yoke Slim Fit Mid-Rise Light Fade Acid Wash Jeans With A Belt,2499,Blue,roadster,6,4,Casual,,Cotton,,,,Regular,,Machine Wash,,Comes with a belt
387,17723956,Roadster Women Black Solid Cargo Joggers,2199,Black,roadster,0,0,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,NA
388,1866509,Roadster Women Maroon Self- Design Top,899,Maroon,roadster,1602,4.026841448,Casual,,Viscose Rayon,,Self Design,Self Design,,,Machine Wash,,
389,16833792,The Roadster Lifestyle Co Women Coral Self Design Co-Ord Set,1799,Coral,roadster,46,4.456521739,Casual,,,,,,Regular,,Machine Wash,NA,NA
390,15202868,Roadster Women Lavender Ribbed Wrap Top with Trousers,2399,Lavender,roadster,20,4.4,Casual,,,,,,Regular,,Machine Wash,,NA
391,15158394,Roadster Women Peach-Coloured Drop-Shoulder Sleeves Solid Sweatshirt,799,Peach,roadster,362,4.091160221,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,
392,13339506,The Roadster Lifestyle Co Blue Pure Cotton Solid Belted Wide Leg Jumpsuit,2599,Blue,roadster,26,3.923076923,Casual,,Cotton,,Solid,,Regular,,Machine Wash,,
393,17074032,Roadster Women Navy Blue & White Striped High Neck Regular Top,1499,Navy Blue,roadster,19,4.842105263,Casual,,Cotton Blend,,Striped,Horizontal Stripes,Regular,,Machine Wash,NA,
394,14955106,Roadster Women Green Printed Co-Ord Set,2599,Green,roadster,417,4.350119904,Casual,,,,,,,,Machine Wash,,NA
395,14955098,Roadster Women Coral Red Printed Co-Ord Set,2599,Coral,roadster,460,4.37826087,Casual,,,,,,Regular,,Machine Wash,,NA
396,15773240,The Roadster Lifestyle Co Women Rose Slim Fit High-Rise Stretchable Jeans,2499,Rose,roadster,7,4.571428571,Casual,,Cotton,,,,Regular,,Machine Wash,,Comes with a belt
397,14955094,Roadster Women Green Solid Leisure Set Co-Ords,2599,Green,roadster,325,4.476923077,Casual,,,,,,Regular,,Machine Wash,,NA
398,15158648,Roadster Women Mauve Solid Pure Cotton Hooded Sweatshirt,1599,Mauve,roadster,26,4.692307692,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,
399,16833912,The Roadster Lifestyle Co Women Puple Self Design Co-Ord Set,1899,Purple,roadster,36,4.611111111,Casual,,,,,,Regular,,Machine Wash,NA,NA
400,17220628,Roadster Women Pink Pure Cotton Wide Leg High-Rise Jeans,2599,Pink,roadster,2,3,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
401,17220632,Roadster Women Blue Pure Cotton Slouchy Fit High-Rise Jeans,2499,Blue,roadster,0,0,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
402,16902554,The Roadster Lifestyle Co White Solid Casual Wrap Top,1299,White,roadster,27,4.444444444,Casual,,Viscose Rayon,,Solid,Solid,Regular,,Machine Wash,NA,
403,15158940,Roadster Women Pink Velour Embroidered Sweatshirt,1399,Pink,roadster,36,4.055555556,Casual,,Polyester,,Solid,Solid,Regular,,Machine Wash,,
404,13314982,The Roadster Lifestyle Co Women Blue Skinny Fit Stretchable Jeans,1699,Blue,roadster,108,4.287037037,Casual,,Cotton,,,,Regular,,Machine Wash,,NA
405,15088956,Roadster Women Dusty Pink Solid Cropped Sweatshirt,1499,Pink,roadster,7,4.714285714,Casual,,Cotton,,Solid,Solid,Regular,,Machine Wash,,
